,Octave 0,Octave 1,Octave 2,Octave 3,Octave 4,Octave 5 ,Octave 6,Octave 7,Octave 8
C,16.35159783,32.70319566,65.40639133,130.8127827,261.6255653,523.2511306,1046.502261,2093.004522,4186.009045
C#,17.32391444,34.64782887,69.29565774,138.5913155,277.182631,554.365262,1108.730524,2217.461048,4434.922096
D,18.35404799,36.70809599,73.41619198,146.832384,293.6647679,587.3295358,1174.659072,2349.318143,4698.636287
D#,19.44543648,38.89087297,77.78174593,155.5634919,311.1269837,622.2539674,1244.507935,2489.01587,4978.03174
E,20.60172231,41.20344461,82.40688923,164.8137785,329.6275569,659.2551138,1318.510228,2637.020455,5274.040911
F,21.82676446,43.65352893,87.30705786,174.6141157,349.2282314,698.4564629,1396.912926,2793.825851,5587.651703
F#,23.12465142,46.24930284,92.49860568,184.9972114,369.9944227,739.9888454,1479.977691,2959.955382,5919.910763
G,24.49971475,48.9994295,97.998859,195.997718,391.995436,783.990872,1567.981744,3135.963488,6271.926976
G#,25.9565436,51.9130872,103.8261744,207.6523488,415.3046976,830.6093952,1661.21879,3322.437581,6644.875161
A,27.5,55,110,220,440,880,1760,3520,7040
A#,29.13523509,58.27047019,116.5409404,233.0818808,466.1637615,932.327523,1864.655046,3729.310092,7458.620184
B,30.86770633,61.73541266,123.4708253,246.9416506,493.8833013,987.7666025,1975.533205,3951.06641,7902.13282
