,Spectrogram,Local file path_y,Pitch,Note,Octave
0,"[[-7.2864001e+02 -7.5628833e+02 -8.0624689e+02 ... -7.6534467e+02
  -7.4506464e+02 -7.1984088e+02]
 [ 1.8604073e+02  1.6657922e+02  1.3193225e+02 ...  1.8705975e+02
   1.9411472e+02  2.0198346e+02]
 [ 5.2675804e+01  6.3550606e+01  8.2043976e+01 ...  1.2233237e+02
   1.0551043e+02  8.2535004e+01]
 ...
 [-6.2384069e-01 -9.5809770e-01  1.2724209e+00 ... -4.4060707e-01
   9.7062683e-01  3.8351784e+00]
 [ 1.8139648e-01  7.7390480e-01  8.3919525e-01 ...  1.9516373e-01
   1.0646057e-01 -1.3255081e+00]
 [-5.0379944e-01 -1.7549667e+00 -1.4452362e+00 ...  9.5182800e-01
  -5.1235962e-01 -1.7607117e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-F#1-pp-N-N.wav,F#1,F#,1
1,"[[-7.1832098e+02 -7.4171771e+02 -7.8621021e+02 ... -7.5330139e+02
  -6.7678369e+02 -6.2719550e+02]
 [ 1.7947754e+02  1.5997015e+02  1.2871738e+02 ...  1.8323026e+02
   1.8967728e+02  1.8416846e+02]
 [ 4.8283508e+01  5.7325424e+01  7.6597801e+01 ...  1.1376355e+02
   5.9573658e+01  3.3934364e+01]
 ...
 [-5.7299572e-01 -1.5520573e-02  7.3340988e-01 ... -1.0714722e-01
  -5.4672813e-01 -8.2032776e-01]
 [-8.1043243e-03 -4.3715858e-01  6.2664795e-01 ... -1.7005920e-01
  -2.3548126e-02  9.9771500e-02]
 [ 3.1917572e-01  5.4815674e-01  2.9946136e-01 ... -1.9032822e+00
  -5.1787567e-01 -6.1074829e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-G1-pp-N-R100u.wav,G1,G,1
2,"[[-7.2576984e+02 -7.4959686e+02 -7.7997931e+02 ... -6.8538135e+02
  -6.0393719e+02 -5.5217212e+02]
 [ 1.7574052e+02  1.6196063e+02  1.4634409e+02 ...  2.3340271e+02
   2.1567551e+02  1.9917386e+02]
 [ 4.6131962e+01  5.8346092e+01  8.8276428e+01 ...  8.8393600e+01
   4.4758160e+01  2.4742493e+01]
 ...
 [ 2.5769389e-01  1.0013566e+00  1.2775841e+00 ... -3.1501007e+00
   8.3068562e-01  2.0499382e+00]
 [ 9.4648361e-01  1.9889126e+00  1.3769836e+00 ... -4.2430496e-01
  -6.8065262e-01  8.3551407e-02]
 [-2.9689636e+00 -2.1954727e+00 -1.6330948e+00 ...  2.0033264e+00
  -6.9532013e-01 -6.1317444e-02]]",Brass/Bass_Tuba/ordinario/BTb-ord-G#1-pp-N-T16u.wav,G#1,G#,1
3,"[[-6.89213501e+02 -7.16448486e+02 -7.47661804e+02 ... -7.37229126e+02
  -7.33966919e+02 -7.33043152e+02]
 [ 1.86914627e+02  1.75784241e+02  1.71409531e+02 ...  1.95212540e+02
   2.01395782e+02  2.10763580e+02]
 [ 3.39838142e+01  5.37519684e+01  8.82595825e+01 ...  1.08707764e+02
   1.11615242e+02  1.14984436e+02]
 ...
 [ 9.15427923e-01  1.58002996e+00  1.25586510e+00 ...  2.10483932e+00
   5.95100403e-01  3.49832535e-01]
 [-6.01360321e-01 -1.28879547e-01  6.81545258e-01 ...  2.33273697e+00
   1.61937714e+00 -1.35766220e+00]
 [ 8.68911743e-01  9.39064026e-01  1.32305908e+00 ...  3.02810669e-01
   2.05535126e+00  2.59120941e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-A1-pp-N-T23d.wav,A1,A,1
4,"[[-7.1680353e+02 -7.3448779e+02 -7.6835455e+02 ... -6.8882861e+02
  -6.8549054e+02 -6.8676752e+02]
 [ 1.9619843e+02  1.8659494e+02  1.6407462e+02 ...  2.3543634e+02
   2.4204089e+02  2.3776736e+02]
 [ 5.8827415e+01  6.8103409e+01  7.7078308e+01 ...  8.5504868e+01
   8.6614716e+01  8.3970108e+01]
 ...
 [ 9.0709162e-01 -1.0640049e+00 -1.7301168e+00 ... -3.1959348e+00
  -1.2358427e+00 -2.1046696e+00]
 [ 3.0802402e+00  5.4964066e-01 -1.4247017e+00 ... -5.5808411e+00
  -2.9940796e+00 -7.7119064e-01]
 [ 1.4607162e+00  1.9643326e+00  3.8968201e+00 ... -2.2108688e+00
  -4.4116974e-01  2.1668167e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-A#1-pp-N-N.wav,A#1,A#,1
5,"[[-7.2170752e+02 -7.3244757e+02 -7.2915680e+02 ... -6.8969788e+02
  -6.6441406e+02 -6.3807550e+02]
 [ 1.9491553e+02  1.8411563e+02  1.9736826e+02 ...  2.4739192e+02
   2.4616154e+02  2.3573340e+02]
 [ 6.6233391e+01  6.6255493e+01  7.7160301e+01 ...  9.6976349e+01
   8.7776932e+01  7.0216125e+01]
 ...
 [ 1.1063585e+00  1.4061728e+00 -9.8941422e-01 ... -3.3328438e-01
   2.5241158e+00  2.9136682e+00]
 [-1.8770370e+00 -1.4860878e+00 -2.8096771e-01 ...  1.7187157e+00
  -2.5131989e-01 -1.5882683e+00]
 [-3.5169220e-01  8.5154724e-01  5.2843475e-01 ...  2.1812592e+00
  -1.0766144e+00 -1.6495819e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-B1-pp-N-N.wav,B1,B,1
6,"[[-6.83759888e+02 -6.91990845e+02 -7.04248047e+02 ... -6.74130310e+02
  -6.69834534e+02 -6.65536438e+02]
 [ 1.98898026e+02  1.96160080e+02  1.98639847e+02 ...  2.39093842e+02
   2.44859467e+02  2.49354950e+02]
 [ 5.30409355e+01  6.25686035e+01  7.31545258e+01 ...  9.36305618e+01
   1.02588104e+02  1.12226151e+02]
 ...
 [-5.26010323e+00 -3.50507069e+00 -5.49163818e-02 ... -9.83850956e-01
  -4.99403000e-01 -5.15821457e-01]
 [ 1.60602570e+00  1.27595139e+00  3.70563507e-01 ... -1.23876190e+00
  -4.56211090e-01  8.18820953e-01]
 [ 2.05281067e+00  1.00933838e+00  3.48663330e-01 ... -3.76029968e-01
  -1.48143005e+00  1.05551910e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-C2-pp-N-T13d.wav,C2,C,2
7,"[[-6.8559644e+02 -6.9872906e+02 -7.2436761e+02 ... -6.8451532e+02
  -5.8212024e+02 -5.2298126e+02]
 [ 2.0980426e+02  2.0279102e+02  1.9491585e+02 ...  2.3056660e+02
   2.0579898e+02  1.8969672e+02]
 [ 4.9565140e+01  5.7768017e+01  7.3107117e+01 ...  7.7252914e+01
   3.4520988e+01  1.9981560e+01]
 ...
 [ 1.1305285e+00  3.0052185e-02  1.1023045e+00 ... -4.3715334e-01
  -6.7221069e-01 -1.0082359e+00]
 [-3.8501740e-02 -1.6811371e-01  3.0255127e-01 ... -6.7956924e-01
  -3.6130142e-01 -8.4191799e-01]
 [-1.9388504e+00  1.1714706e+00  2.3049316e+00 ...  8.7467957e-01
  -5.4220581e-01 -9.3241119e-01]]",Brass/Bass_Tuba/ordinario/BTb-ord-C#2-pp-N-N.wav,C#2,C#,2
8,"[[-6.7386877e+02 -6.8504266e+02 -7.2923364e+02 ... -6.6259778e+02
  -6.4929358e+02 -6.3256952e+02]
 [ 2.2954796e+02  2.1460262e+02  1.7524229e+02 ...  2.3670984e+02
   2.3632219e+02  2.2713397e+02]
 [ 5.4268349e+01  5.5896271e+01  6.4044434e+01 ...  6.4573593e+01
   6.3212852e+01  5.9130192e+01]
 ...
 [ 9.3601704e-01  1.0637040e+00  1.1324596e+00 ... -3.6372581e-01
  -4.1874838e-01 -2.9209633e+00]
 [-4.2706871e-01 -3.2642174e-01 -7.5282860e-01 ...  2.0814342e+00
  -8.9150810e-01 -2.2911987e+00]
 [ 8.7600708e-02  8.0383301e-01  1.6274109e+00 ...  3.9118576e+00
   1.0526276e+00 -1.3987045e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-D2-pp-N-T18u.wav,D2,D,2
9,"[[-7.1281506e+02 -7.0387341e+02 -6.6115076e+02 ... -7.1556305e+02
  -7.0130328e+02 -6.9392493e+02]
 [ 1.8686819e+02  1.9174684e+02  2.3159192e+02 ...  2.0779504e+02
   2.1611119e+02  2.2323499e+02]
 [ 6.3545738e+01  6.3848412e+01  7.1169548e+01 ...  9.1354149e+01
   9.9460907e+01  9.9647583e+01]
 ...
 [ 5.2597189e-01  8.4171772e-01  1.7367187e+00 ...  4.0178728e+00
   1.7993279e+00  4.2793083e-01]
 [-2.0350056e+00 -5.1785088e-01  4.0802765e-01 ...  2.9411926e+00
   1.0414696e+00 -1.2763329e+00]
 [-1.9980545e+00  8.9561462e-01  2.2083588e+00 ...  1.6535416e+00
   2.0838165e+00  1.6064529e+00]]",Brass/Bass_Tuba/ordinario/BTb-ord-D#2-pp-N-T11u.wav,D#2,D#,2
