,0
0,A#1
1,A#2
2,A#3
3,A#4
4,A#5
5,A#6
6,A#7
7,A1
8,A2
9,A3
10,A4
11,A5
12,A6
13,A7
14,B1
15,B2
16,B3
17,B4
18,B5
19,B6
20,B7
21,C#2
22,C#3
23,C#4
24,C#5
25,C#6
26,C#7
27,C#8
28,C2
29,C3
30,C4
31,C5
32,C6
33,C7
34,C8
35,D#2
36,D#3
37,D#4
38,D#5
39,D#6
40,D#7
41,D2
42,D3
43,D4
44,D5
45,D6
46,D7
47,E1
48,E2
49,E3
50,E4
51,E5
52,E6
53,E7
54,F#1
55,F#2
56,F#3
57,F#4
58,F#5
59,F#6
60,F#7
61,F1
62,F2
63,F3
64,F4
65,F5
66,F6
67,F7
68,G#1
69,G#2
70,G#3
71,G#4
72,G#5
73,G#6
74,G#7
75,G1
76,G2
77,G3
78,G4
79,G5
80,G6
81,G7
